Designator,Mid X,Mid Y,Layer,Rotation
A1,131.046602,-77.777,Top,-90
C1,133.975,-77.2345,Top,0
C2,135.525,-77.777,Top,90
C3,129.55,-122.9,Top,90
C4,128.2,-125.84575,Top,90
C5,156.529647,-101.037798,Top,90
C6,155.993647,-105.740024,Top,0
C7,155.513647,-101.037798,Top,90
C8,150.563651,-105.740024,Top,0
C9,150.063651,-101.037798,Top,90
C10,133.82,-125.84,Top,90
C11,151.08,-101.037798,Top,90
C_VDD1,129.59,-107.79,Top,180
C_VDDC1,132.65,-98.39,Top,180
C_VDDV1,132.49,-107.79,Top,180
D1,118.31181,-99.34,Top,90
D2,118.31181,-106.85,Top,-90
D3,166.247637,-99.34,Top,90
D4,166.247637,-106.85,Top,-90
D5,131.046602,-85.74,Top,180
IC1,131.046602,-103.092214,Top,0
IC2,155.993647,-103.621638,Top,90
IC3,150.563651,-103.621638,Top,90
Q4,155.197568,-123.268655,Top,-90
Q5,155.197568,-128.02,Top,-90
R1,150.563651,-106.800024,Top,180
R2,152.35,-103.61,Top,90
R3,153.542568,-123.268655,Top,-90
R4,155.993647,-106.800024,Top,180
R5,157.769651,-103.621638,Top,90
R6,134.1,-85.74,Top,90
R7,133.975,-78.3095,Top,180
R8,130.7,-122.9,Top,-90
R9,131.86,-122.9,Top,-90
R13,131.021703,-128.12,Top,0
R14,153.54,-128.02,Top,-90
Rext1,135.02,-125.83,Top,90
U1,131.021703,-125.84575,Top,-90
